name,category,unit,price,sku,imageUrl
"Tiêu xanh 50g","Rau lá","kg",9500,"BHX-2","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/299806/bhx/cdntgddvnproductsimages8785299806bhxtieu-xanh-tui-50g-202212280833064038_202409041619286474.jpg"
"Cá lóc kho tộ","Rau lá","kg",49000,"BHX-4","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/222961/bhx/ca-loc-song-tui-500g_202505252005468933.jpg"
"Hành lá 300g","Rau lá","kg",15000,"BHX-5","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/232791/bhx/hanh-la-goi-50g_202509051405475742.jpg"
"Lá giang 150g","Rau lá","kg",14000,"BHX-6","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/233971/bhx/la-giang-1kg_202505090936496792.jpg"
"Rau nhút làm sạch 400g","Rau lá","kg",18000,"BHX-7","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/238471/bhx/rau-nhut-1kg_202508081105402835.jpg"
"Rau thơm các loại khoảng 200g","Rau lá","kg",12000,"BHX-8","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/271489/bhx/rau-thom-cac-loai-goi-200gr_202505091451086460.jpg"
"Hành lá khoảng 100g","Rau lá","kg",6500,"BHX-9","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/271492/bhx/hanh-la-goi-100g_202505090905332958.jpg"
"Hẹ lá khoảng 100g","Rau lá","kg",4900,"BHX-10","https://cdn.tgdd.vn/Products/Images/8820/271502/bhx/he-la-100gr-202401131825186214.jpg"
"Rau má khoảng 200g","Rau lá","kg",10000,"BHX-11","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/271747/bhx/rau-ma-goi-200g_202505081310424357.jpg"
"Tía tô khoảng 100g","Rau lá","kg",6500,"BHX-12","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299255/bhx/tia-to-goi-100g_202505100849199977.jpg"
"Rau húng quế khoảng 100g","Rau lá","kg",6500,"BHX-13","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299256/bhx/rau-hung-que-tui-100g_202505091116137552.jpg"
"Rau húng cây khoảng 100g","Rau lá","kg",6500,"BHX-14","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299257/bhx/rau-hung-cay-100g_202505091057143767.jpg"
"Rau diếp cá khoảng 100g","Rau lá","kg",6500,"BHX-15","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299258/bhx/rau-diep-ca-goi-100g_202505091413116213.jpg"
"Rau đắng khoảng 200g","Rau lá","kg",7200,"BHX-16","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299807/bhx/rau-dang-goi-200g_202505091320161114.jpg"
"Xà lách thủy tinh thủy canh khoảng 200g","Rau lá","kg",16000,"BHX-17","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/303824/bhx/xa-lach-thuy-tinh-thuy-canh-cay-tu-230g_202506090948310961.jpg"
"Ngò rí 50g","Rau lá","kg",3500,"BHX-18","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/309141/bhx/ngo-ri-50g_202505081655119693.jpg"
"Ngò gai, rau om 50g","Rau lá","kg",3500,"BHX-19","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/309145/bhx/ngo-gai-rau-om-50g_202505091436115549.jpg"
"Rau ngót khoảng 250g","Rau lá","kg",10000,"BHX-20","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/309146/bhx/rau-ngot-250gr_202505201652490353.jpg"
"Rau răm 50g","Rau lá","kg",3500,"BHX-21","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/309149/bhx/rau-ram-50g_202505091351343680.jpg"
"Hành lá, ngò rí 100g","Rau lá","kg",6900,"BHX-22","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/320735/bhx/hanh-la-ngo-ri-100gr_202505091428268157.jpg"
"Bông điên điển 200g","Rau lá","kg",20000,"BHX-23","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/325778/bhx/bong-dien-dien-200g_202505291929376368.jpg"
"Bông súng 300g","Rau lá","kg",9000,"BHX-24","https://cdn.tgdd.vn/Products/Images/8820/325978/bhx/bong-sung-202405220947402439.jpg"
"Xà lách búp mỡ 300g","Rau lá","kg",18000,"BHX-25","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/336810/bhx/xa-lach-bup-mo-300g_202505210854161280.jpg"
"Xà lách lô lô xanh 300g","Rau lá","kg",18000,"BHX-26","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/336812/bhx/xa-lach-lo-lo-xanh-300g_202505210852562957.jpg"
"Rau lang 300g","Rau lá","kg",9900,"BHX-27","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/336819/bhx/rau-lang-300g_202505271421579125.jpg"
"Cải bẹ dún 400g","Rau lá","kg",9900,"BHX-28","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/222627/bhx/cai-be-dun-tui-400g_202505210849538980.jpg"
"Cải ngồng 300g","Rau lá","kg",9900,"BHX-29","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/222865/bhx/cai-ngong-tui-300g_202506021524316793.jpg"
"Rau muống hạt 300g","Rau lá","kg",9900,"BHX-30","https://cdn.tgdd.vn/Products/Images/8820/223334/bhx/rau-muong-hat-baby-tui-300g-202011071623155891.jpg"
"Cải thìa 300g","Rau lá","kg",9900,"BHX-31","https://cdn.tgdd.vn/Products/Images/8820/238556/bhx/cai-thia-da-lat-202407090853555309.jpg"
"Rau mồng tơi 300g","Rau lá","kg",5000,"BHX-32","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/298825/bhx/rau-mong-toi-goi-300g_202506020917306037.jpg"
"Cải ngọt 300gr","Rau lá","g",9900,"BHX-33","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/223330/bhx/cai-ngot-baby-goi-300g_202506020913508949.jpg"
"Rau muống nước 400gr","Rau lá","g",5000,"BHX-34","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/335480/bhx/rau-muong-nuoc-400gr_202505081440524383.jpg"
