web-scraper-order,category,category-link-0-href,category-link-1-href,Product Name,price,image-src
1759977776-1,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/bun-kho/bun-tuoi-bach-hoa-xanh-goi-500g,Bún tươi gói 500g,,
1759977779-2,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/cu/tieu-xanh-tui-50g,Tiêu xanh 50g,9.500₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/299806/bhx/cdntgddvnproductsimages8785299806bhxtieu-xanh-tui-50g-202212280833064038_202409041619286474.jpg
1759977781-3,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/bun-kho/mien-tuoi-song-long-goi-200g,Miến tươi Song Long gói 200g,,
1759977783-4,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/ca-tom-muc-ech/combo-ca-loc-kho-to-ngon,Cá lóc kho tộ,49.000₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/222961/bhx/ca-loc-song-tui-500g_202505252005468933.jpg
1759977785-5,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/hanh-la-goi-50g,Hành lá 300g,15.000₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/232791/bhx/hanh-la-goi-50g_202509051405475742.jpg
1759977787-6,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/la-giang-1kg,Lá giang 150g,14.000₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/233971/bhx/la-giang-1kg_202505090936496792.jpg
1759977789-7,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/rau-nhut-1kg,Rau nhút làm sạch 400g,18.000₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/238471/bhx/rau-nhut-1kg_202508081105402835.jpg
1759977792-8,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/rau-thom-cac-loai-goi-200gr,Rau thơm các loại khoảng 200g,12.000₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/271489/bhx/rau-thom-cac-loai-goi-200gr_202505091451086460.jpg
1759977794-9,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/hanh-la-goi-100g,Hành lá khoảng 100g,6.500₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/271492/bhx/hanh-la-goi-100g_202505090905332958.jpg
1759977796-10,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/he-la-goi-100g,Hẹ lá khoảng 100g,4.900₫,https://cdn.tgdd.vn/Products/Images/8820/271502/bhx/he-la-100gr-202401131825186214.jpg
1759977798-11,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/rau-ma-goi-200g,Rau má khoảng 200g,10.000₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/271747/bhx/rau-ma-goi-200g_202505081310424357.jpg
1759977800-12,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/tia-to-goi-100g,Tía tô khoảng 100g,6.500₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299255/bhx/tia-to-goi-100g_202505100849199977.jpg
1759977802-13,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/rau-hung-que-tui-100g,Rau húng quế khoảng 100g,6.500₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299256/bhx/rau-hung-que-tui-100g_202505091116137552.jpg
1759977805-14,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/rau-hung-cay-100g,Rau húng cây khoảng 100g,6.500₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299257/bhx/rau-hung-cay-100g_202505091057143767.jpg
1759977807-15,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/rau-diep-ca-goi-100g,Rau diếp cá khoảng 100g,6.500₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299258/bhx/rau-diep-ca-goi-100g_202505091413116213.jpg
1759977809-16,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/rau-dang-goi-200g,Rau đắng khoảng 200g,7.200₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299807/bhx/rau-dang-goi-200g_202505091320161114.jpg
1759977811-17,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/xa-lach-thuy-tinh-thuy-canh-cay-tu-230g,Xà lách thủy tinh thủy canh khoảng 200g,16.000₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/303824/bhx/xa-lach-thuy-tinh-thuy-canh-cay-tu-230g_202506090948310961.jpg
1759977813-18,Rau lá,https://www.bachhoaxanh.com/rau-sach,https://www.bachhoaxanh.com/rau-sach/ngo-ri-50g,Ngò rí 50g,3.500₫,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/309141/bhx/ngo-ri-50g_202505081655119693.jpg
